RacerID,Course,RacesRun,QuinellaRate,FirstPlaceRate,Nige,Makuri
2014,1,1013,51.1,27.5,246,0
2014,2,1034,38.4,14.2,0,31
2014,3,1057,27.6,10.6,0,29
2014,4,1057,29.7,13.5,0,50
2014,5,1077,21.9,7.4,0,21
2014,6,854,13.1,3.2,0,2
2380,1,2200,51.6,30.4,609,1
2380,2,1701,34.5,15.4,0,158
2380,3,323,26.0,13.6,0,25
2380,4,52,26.9,17.3,0,4
2380,5,27,18.5,7.4,0,1
2380,6,24,20.8,0.0,0,0
2505,1,753,33.7,14.7,98,0
2505,2,919,25.7,10.1,0,30
2505,3,925,19.5,7.7,0,36
2505,4,766,21.4,7.9,0,31
2505,5,458,15.5,3.9,0,5
2505,6,155,8.3,1.2,0,1
2538,1,1101,42.3,21.6,191,0
2538,2,1441,33.5,12.2,0,46
2538,3,1233,25.0,8.6,0,29
2538,4,844,17.6,5.2,0,12
2538,5,569,12.3,2.6,0,1
2538,6,452,7.5,1.3,0,2
2568,1,839,47.2,25.9,182,0
2568,2,899,35.1,16.3,0,40
2568,3,727,25.3,9.0,0,18
2568,4,679,23.5,9.1,0,15
2568,5,664,17.6,4.9,0,7
2568,6,394,13.7,2.7,0,0
2596,1,825,39.1,18.7,132,2
2596,2,963,29.2,12.6,0,54
2596,3,812,24.7,9.3,0,25
2596,4,674,20.9,10.0,0,29
2596,5,361,16.6,4.9,0,9
2596,6,202,10.8,3.4,0,2
2698,1,1399,40.9,20.0,250,0
2698,2,2000,25.3,8.5,0,41
2698,3,851,20.8,6.1,0,23
2698,4,166,18.6,4.8,0,5
2698,5,71,8.4,5.6,0,1
2698,6,36,5.5,0.0,0,0
2776,1,473,32.3,11.6,48,0
2776,2,547,27.0,9.6,0,17
2776,3,659,27.0,9.4,0,29
2776,4,959,34.1,15.0,0,78
2776,5,985,21.9,8.5,0,38
2776,6,572,10.1,3.3,0,8
2785,1,1129,63.3,38.6,389,0
2785,2,1352,43.2,18.9,0,85
2785,3,994,36.3,16.5,0,60
2785,4,749,27.9,11.8,0,26
2785,5,515,14.1,4.6,0,3
2785,6,285,6.6,0.7,0,1
2787,1,1015,67.0,44.7,411,0
2787,2,1097,51.9,24.8,0,69
2787,3,1251,38.3,17.9,0,64
2787,4,1056,33.6,15.4,0,53
2787,5,854,22.8,7.6,0,17
2787,6,463,12.3,3.8,0,3
2816,1,659,49.1,26.4,152,0
2816,2,773,37.9,15.7,0,47
2816,3,809,30.9,12.3,0,35
2816,4,780,30.3,10.9,0,29
2816,5,842,18.6,6.0,0,12
2816,6,526,15.9,2.6,0,3
2820,1,932,62.5,42.7,363,0
2820,2,980,48.2,26.0,1,139
2820,3,788,34.2,18.7,0,86
2820,4,450,28.2,12.8,0,31
2820,5,183,15.3,6.5,0,4
2820,6,90,12.2,4.4,0,2
2823,1,830,48.9,25.6,188,0
2823,2,991,37.4,19.4,0,115
2823,3,1010,38.0,20.9,0,143
2823,4,712,27.5,13.9,0,70
2823,5,238,18.4,9.6,0,17
2823,6,76,10.5,5.2,0,2
2841,1,1038,59.6,28.1,242,0
2841,2,1047,42.4,14.7,0,57
2841,3,1138,33.8,11.9,0,44
2841,4,1205,34.1,12.9,0,75
2841,5,926,24.4,5.9,0,14
2841,6,442,11.7,2.0,0,0
2842,1,561,43.8,24.4,118,0
2842,2,703,38.9,13.6,0,35
2842,3,693,33.4,14.4,0,42
2842,4,801,35.5,15.4,0,42
2842,5,924,25.8,9.8,0,22
2842,6,514,12.4,3.7,0,3
2844,1,1184,60.3,34.8,368,0
2844,2,1380,45.7,19.5,0,87
2844,3,1234,31.3,13.2,0,72
2844,4,946,29.1,9.3,0,38
2844,5,683,14.7,4.1,0,9
2844,6,362,8.5,1.6,0,2
2876,1,2987,52.9,34.8,946,0
2876,2,2276,33.5,14.8,0,118
2876,3,523,30.5,16.4,0,40
2876,4,103,18.4,5.8,0,3
2876,5,16,25.0,12.5,0,1
2876,6,15,13.3,6.6,0,0
2878,1,1412,64.8,34.8,415,0
2878,2,1424,48.4,19.8,0,67
2878,3,1411,40.5,19.2,0,84
2878,4,1496,39.5,15.7,0,92
2878,5,1186,25.1,8.5,0,31
2878,6,517,12.1,1.5,0,1
2883,1,638,36.5,18.1,101,0
2883,2,633,31.6,14.8,0,24
2883,3,699,26.3,12.3,0,41
